age,gender,sleep_hours,food_quality,exercise_hours,work_stress,screen_time,health_issues,social_interaction,introvert_extrovert,financial_stress,relationship_status,academic_pressure,job_satisfaction,family_support,sleep_quality,physical_pain,anxiety_level,depression_level,optimism_score,mental_state
56,male,3,5,1,4,12,0,3,introvert,5,married,9,10,4,4,0,2,8,8,stable
46,male,7,1,0,4,9,0,5,introvert,4,in_relationship,4,1,2,4,0,2,7,10,happy
32,other,8,2,0,7,7,0,4,introvert,2,married,6,1,2,3,0,8,9,8,stressed
25,male,6,1,0,8,2,0,2,introvert,4,single,2,10,2,3,1,1,9,2,stressed
38,other,6,1,2,1,13,0,5,introvert,1,married,4,7,1,2,0,4,6,4,stable
56,male,4,4,0,5,2,0,2,extrovert,4,in_relationship,2,2,3,3,1,10,7,10,stable
36,other,8,3,0,7,8,0,4,extrovert,5,in_relationship,10,4,2,3,0,5,2,1,stressed
40,male,7,5,1,4,9,1,3,introvert,5,single,5,5,1,3,0,9,9,4,anxious
28,female,5,1,0,4,6,1,2,extrovert,4,married,7,7,4,4,0,7,1,4,stressed
28,male,3,5,2,4,13,0,1,extrovert,5,married,1,2,5,2,0,8,1,10,happy
41,male,4,1,0,6,12,0,1,introvert,2,married,10,6,1,4,0,9,3,9,anxious
53,female,6,2,2,7,6,0,5,extrovert,4,in_relationship,10,1,5,5,0,7,6,3,anxious
57,male,5,1,0,2,5,0,4,extrovert,2,single,7,7,2,4,0,5,5,2,stressed
41,female,5,4,0,5,15,0,5,extrovert,2,married,10,9,2,5,0,5,2,9,stable
20,male,3,3,0,4,7,1,5,extrovert,3,in_relationship,6,5,1,1,0,10,9,9,anxious
39,other,8,2,0,3,15,0,5,extrovert,4,in_relationship,6,5,5,1,0,6,10,1,anxious
19,other,6,1,2,7,7,0,1,extrovert,5,in_relationship,8,4,2,5,0,5,4,6,stressed
41,male,7,5,2,6,4,1,1,extrovert,2,married,8,3,4,5,0,9,4,10,happy
47,male,5,2,1,7,10,0,5,extrovert,3,married,6,9,3,4,0,3,5,8,stable
55,male,3,2,2,5,13,1,1,introvert,4,married,3,5,3,5,1,3,8,3,anxious
19,other,7,1,0,6,12,0,4,introvert,4,married,5,8,2,2,0,7,10,9,stressed
38,male,8,2,1,5,15,0,5,extrovert,1,married,2,9,5,1,0,7,4,2,stable
50,other,6,5,1,7,8,0,1,extrovert,1,married,5,5,2,1,0,6,5,6,stable
29,female,8,2,1,2,2,0,2,introvert,2,married,9,10,5,5,0,3,4,1,happy
39,other,5,5,0,5,14,1,5,extrovert,1,married,10,9,4,3,0,7,6,7,stressed
42,other,7,1,2,6,8,0,5,extrovert,2,married,1,2,5,3,1,5,3,3,happy
44,female,7,3,0,6,6,1,4,introvert,5,in_relationship,10,9,2,5,1,7,8,7,stressed
59,other,7,2,1,5,6,0,3,introvert,2,married,5,4,4,2,0,2,6,4,stable
45,male,5,3,0,10,15,0,3,introvert,1,single,6,6,1,3,0,6,10,9,anxious
33,male,5,5,0,7,14,0,4,extrovert,5,in_relationship,7,6,3,5,0,8,5,5,anxious
32,other,8,2,2,10,3,0,4,extrovert,1,married,9,6,2,2,0,1,2,3,happy
20,male,4,4,2,8,5,1,4,introvert,2,single,6,2,2,2,0,4,10,8,stressed
54,other,8,3,1,7,13,0,3,introvert,3,married,5,7,2,4,0,1,10,6,stable
24,male,6,2,0,5,7,0,4,extrovert,4,single,7,6,4,2,0,1,7,2,stressed
38,male,3,3,0,1,11,0,1,introvert,1,single,1,1,1,3,1,10,2,3,stressed
26,other,7,2,2,5,12,0,5,extrovert,2,single,5,2,5,3,0,8,1,8,happy
56,male,4,1,0,10,8,0,5,extrovert,5,single,2,7,1,5,0,7,7,10,stressed
35,other,3,3,0,2,12,0,2,introvert,1,in_relationship,4,1,4,5,1,10,5,7,stressed
21,male,4,4,0,5,6,1,2,introvert,1,in_relationship,7,1,2,2,0,1,1,10,happy
42,male,9,4,2,5,10,0,5,extrovert,4,single,5,1,3,1,1,2,4,6,happy
31,female,8,5,1,2,4,0,1,introvert,2,married,6,8,2,4,0,4,4,1,happy
26,female,5,2,1,5,2,0,3,introvert,3,single,2,4,5,1,0,1,10,9,happy
43,other,7,3,0,4,5,0,3,introvert,5,in_relationship,3,4,3,2,1,3,7,3,stable
19,female,8,5,1,1,10,1,1,introvert,2,married,7,2,2,2,0,8,9,5,stressed
37,other,3,3,2,3,5,0,3,extrovert,5,in_relationship,2,1,3,1,0,8,2,7,stable
45,female,9,2,2,1,3,0,4,extrovert,1,in_relationship,6,10,1,4,0,8,1,7,happy
24,male,9,4,1,5,11,0,5,extrovert,4,married,5,9,4,1,0,6,2,3,happy
25,other,9,1,1,4,15,0,5,extrovert,4,single,10,7,2,5,0,6,7,4,stressed
52,other,3,4,0,7,15,0,1,introvert,3,single,1,4,5,3,1,5,10,10,stressed
31,male,3,5,1,5,6,1,3,introvert,4,single,10,6,1,5,1,9,6,7,anxious
34,other,3,1,0,10,4,1,2,extrovert,1,single,4,2,2,3,1,4,4,8,stressed
53,other,3,5,0,4,14,1,2,extrovert,3,married,2,7,1,2,0,10,1,2,anxious
57,female,9,2,2,2,13,0,3,introvert,2,married,4,2,5,4,0,7,1,9,happy
21,other,9,1,2,4,14,0,2,extrovert,4,married,1,10,2,1,0,1,5,7,happy
19,male,4,5,2,2,10,0,1,extrovert,3,in_relationship,2,8,5,4,1,9,1,8,happy
23,female,8,2,2,8,5,0,1,introvert,1,married,8,8,3,1,0,7,7,6,stable
59,female,7,4,1,3,7,1,3,extrovert,5,single,6,1,5,5,0,10,1,6,stable
21,male,5,2,2,9,3,0,2,introvert,5,in_relationship,2,8,3,5,0,9,1,9,happy
46,male,9,3,1,4,7,1,1,introvert,1,single,6,2,2,1,0,7,2,4,stable
35,female,5,2,2,6,4,1,1,extrovert,1,single,10,6,3,4,0,2,10,5,stressed
43,other,8,2,1,10,13,0,4,introvert,5,married,9,1,2,1,1,6,3,9,stressed
51,female,8,3,0,5,13,0,4,extrovert,3,married,7,5,2,2,1,10,1,1,anxious
27,male,5,5,1,10,10,0,1,introvert,5,single,9,7,4,5,0,4,9,4,anxious
53,female,9,5,1,1,12,0,3,extrovert,1,single,5,10,2,2,0,3,10,7,happy
31,male,5,2,2,9,3,1,5,extrovert,4,in_relationship,7,1,3,5,1,2,8,9,stressed
48,female,4,3,1,1,13,0,5,extrovert,2,married,7,2,4,5,0,6,5,10,happy
32,other,6,3,0,8,13,0,1,introvert,4,in_relationship,3,7,4,3,0,8,2,6,stressed
25,female,9,4,0,9,10,0,1,introvert,4,in_relationship,7,6,2,2,0,6,5,8,stressed
31,female,9,5,2,9,6,1,1,extrovert,1,in_relationship,1,3,5,2,0,9,6,9,happy
40,male,7,1,0,1,9,0,3,introvert,5,single,9,10,5,3,0,5,1,10,happy
57,male,3,5,1,2,3,1,4,extrovert,3,in_relationship,10,2,4,4,0,2,4,4,stable
38,male,6,5,0,1,7,0,1,extrovert,4,in_relationship,6,10,2,2,0,8,9,1,stressed
33,female,8,4,2,10,4,1,1,introvert,5,single,5,4,5,1,0,9,2,8,stable
35,other,9,1,1,2,13,1,2,extrovert,3,married,7,3,2,3,1,10,5,2,anxious
41,male,5,4,2,10,13,0,3,introvert,4,married,5,7,2,2,1,4,1,1,stressed
43,male,6,1,1,8,15,0,1,extrovert,3,in_relationship,10,8,4,4,1,6,4,7,anxious
42,female,7,2,0,5,11,1,2,introvert,5,single,5,2,4,2,0,10,4,10,stressed
58,male,8,1,2,7,6,0,5,extrovert,2,married,10,10,1,5,0,8,6,9,stable
46,other,3,4,2,2,13,1,1,extrovert,5,in_relationship,7,7,5,1,0,9,10,9,anxious
32,other,3,5,1,8,9,0,1,introvert,1,in_relationship,10,8,5,3,1,5,9,3,anxious
18,male,7,1,2,6,11,1,2,extrovert,3,single,7,6,5,5,0,6,3,6,stable
42,male,7,1,1,8,15,1,3,extrovert,2,in_relationship,3,6,3,4,0,4,9,7,stressed
24,female,5,3,1,1,2,1,1,introvert,3,married,3,10,2,5,0,5,6,10,happy
26,other,9,5,1,1,6,0,5,extrovert,3,single,10,1,4,5,0,7,7,9,happy
41,other,3,2,1,7,4,0,1,introvert,4,married,3,4,5,4,0,9,10,2,depressed
18,male,8,4,0,8,5,0,5,extrovert,1,married,6,1,1,5,1,10,2,8,stable
25,female,6,2,1,3,3,0,4,introvert,3,married,6,4,5,3,1,6,10,7,stable
41,other,8,5,2,5,10,0,4,extrovert,5,in_relationship,3,2,2,2,0,6,6,4,stable
28,other,4,1,0,1,4,0,5,extrovert,5,in_relationship,3,5,2,5,1,8,6,2,stressed
34,female,4,1,2,7,3,1,3,extrovert,4,married,8,10,4,3,0,4,2,8,happy
25,female,7,5,0,5,11,0,1,introvert,1,married,8,9,3,2,0,3,2,5,happy
52,other,5,1,1,8,12,0,1,introvert,1,single,7,10,4,2,0,7,2,6,stressed
52,other,4,1,0,8,10,0,4,introvert,5,single,10,3,5,5,0,5,10,7,depressed
50,female,3,1,0,9,8,0,5,introvert,2,in_relationship,4,8,1,3,0,2,1,10,happy
22,other,8,4,2,7,7,0,1,extrovert,4,in_relationship,4,3,4,5,1,2,5,1,stable
59,male,8,4,2,1,2,1,1,extrovert,4,single,3,6,3,4,0,6,8,8,happy
56,male,7,3,1,3,6,1,3,introvert,5,married,5,4,4,2,0,8,2,4,stable
58,female,9,2,0,8,13,0,2,introvert,5,in_relationship,3,8,2,5,0,1,5,9,happy
45,female,9,5,0,3,12,0,4,introvert,2,married,8,6,5,2,1,6,8,1,stressed
24,female,6,5,0,8,15,1,4,extrovert,2,single,7,8,5,3,0,2,10,2,anxious
